"Razão Social (Registro ANS)";"Cobertura";"Porte";"Classificação no Mês";"Classificação no Mês Anterior";"Mar/22";"Fev/22";"Jan/22";"Competência";"Data de atualização"
"WM ADMINISTRAÇÃO DE PLANOS ODONTOLÓGICOS LTDA. (351628)";"Odontológica";"Pequeno";"4";"9";"0,00";"0,00";"0,00";"202201";"19/02/2022 09:24:50"
"ODONTOBASE PLANOS DE SAUDE LTDA. (344486)";"Odontológica";"Pequeno";"4";"9";"0,00";"0,00";"0,00";"202201";"19/02/2022 09:24:50"
"UNIODONTO DE ARAÇATUBA COOPERATIVA ODONTOLOGICA (362824)";"Odontológica";"Pequeno";"4";"9";"0,00";"0,00";"0,00";"202201";"19/02/2022 09:24:50"
"PRUDENT PLANOS ODONTOLOGICOS S/S LTDA (416151)";"Odontológica";"Pequeno";"4";"9";"0,00";"0,00";"0,00";"202201";"19/02/2022 09:24:50"
"UNIODONTO METROPOLITANA COOPERATIVA ODONTOLÓGICA. (382337)";"Odontológica";"Pequeno";"4";"9";"0,00";"0,00";"0,00";"202201";"19/02/2022 09:24:50"
"UNIMED METROPOLITANA DO AGRESTE - COOPERATIVA DE TRABALHO MÉDICO (318566)";"Médico Hospitalar";"Médio";"76";"92";"   2,87";"   3,81";"   3,81";"202201";"19/02/2022 09:24:50"
"SISTEMA PREVSAUDE LTDA (333239)";"Odontológica";"Pequeno";"4";"9";"0,00";"0,00";"0,00";"202201";"19/02/2022 09:24:50"
"UNIODONTO DE JALES - COOPERATIVA ODONTOLÓGICA (309257)";"Odontológica";"Pequeno";"4";"9";"0,00";"0,00";"0,00";"202201";"19/02/2022 09:24:50"
"FR PLANO ODONTOLÓGICO LTDA (419818)";"Odontológica";"Pequeno";"4";"9";"0,00";"0,00";"0,00";"202201";"19/02/2022 09:24:50"
"DENTAL CARE ASSISTÊNCIA ODONTOLÓGICA LTDA (420239)";"Odontológica";"Pequeno";"4";"9";"0,00";"0,00";"0,00";"202201";"19/02/2022 09:24:50"
"BRASIL ODONTO OPERADORA DE PLANOS ODONTOLÓGICOS LTDA (421561)";"Odontológica";"Pequeno";"4";"9";"0,00";"0,00";"0,00";"202201";"19/02/2022 09:24:50"
"INSTITUTO DE SAÚDE ODONTOLÓGICA - ISODONT LTDA (415260)";"Odontológica";"Pequeno";"4";"9";"0,00";"0,00";"0,00";"202201";"19/02/2022 09:24:50"
"UNIODONTO DE CACAPAVA COOPERATIVA ODONTOLOGICA (347302)";"Odontológica";"Pequeno";"2";"6";"   1,20";"   1,20";"   1,20";"202201";"19/02/2022 09:24:50"
"UNIFICAÇÃO DOS DENTISTAS DE ITUVERAVA LTDA (404942)";"Odontológica";"Pequeno";"4";"9";"0,00";"0,00";"0,00";"202201";"19/02/2022 09:24:50"
"UNIODONTO BEBEDOURO - COOPERATIVA ODONTOLÓGICA (327093)";"Odontológica";"Pequeno";"3";"7";"   0,59";"   0,60";"   0,60";"202201";"19/02/2022 09:24:50"
"UNIODONTO DE CATANDUVA COOPERATIVA ODONTOLÓGICA (354686)";"Odontológica";"Pequeno";"4";"9";"0,00";"0,00";"0,00";"202201";"19/02/2022 09:24:50"
"UNIODONTO TAUBATÉ COOPERATIVA DE TRABALHO ODONTOLOGICO (319350)";"Odontológica";"Pequeno";"4";"9";"0,00";"0,00";"0,00";"202201";"19/02/2022 09:24:50"
"TOPDONTO OPERADORA DE PLANO ODONTOLÓGICO LTDA (417114)";"Odontológica";"X";"1";"9";"0,00";"0,00";"0,00";"202201";"19/02/2022 09:24:50"
"MATTOS ODONTOLOGIA LTDA (329967)";"Odontológica";"Pequeno";"4";"9";"0,00";"0,00";"0,00";"202201";"19/02/2022 09:24:50"
"PLANODENTE LTDA. (416517)";"Odontológica";"Pequeno";"4";"9";"0,00";"0,00";"0,00";"202201";"19/02/2022 09:24:50"
"UNIDENTAL- COOPERATIVA UNIÃO DOS DENTISTAS DO ESTADO DO CEARÁ (401072)";"Odontológica";"Pequeno";"4";"9";"0,00";"0,00";"0,00";"202201";"19/02/2022 09:24:50"
"SERVIÇO FEDERAL DE PROCESSAMENTO DE DADOS (SERPRO) (345474)";"Médico Hospitalar";"Médio";"79";"87";"   2,32";"   2,80";"   5,04";"202201";"19/02/2022 09:24:50"
"UNIMED PALMAS COOPERATIVA DE TRABALHO MÉDICO (309907)";"Médico Hospitalar";"Médio";"100";"101";"   1,87";"   2,18";"   2,18";"202201";"19/02/2022 09:24:50"
"UNIMED CURVELO COOPERATIVA DE TRABALHO MÉDICO LTDA. (330108)";"Médico Hospitalar";"Médio";"156";"161";"   0,82";"   1,38";"   1,09";"202201";"19/02/2022 09:24:50"
"UNIMED NORTE CAPIXABA- COOPERATIVA DE TRABALHO MÉDICO (371777)";"Médico Hospitalar";"Médio";"98";"118";"   1,89";"   1,89";"   2,16";"202201";"19/02/2022 09:24:50"
"FUNDAÇÃO CELESC DE SEGURIDADE SOCIAL - CELOS (315044)";"Médico Hospitalar";"Médio";"84";"108";"   2,24";"   3,58";"   3,58";"202201";"19/02/2022 09:24:50"
"ASSOCIAÇÃO DA SANTA CASA SAÚDE DE RIBEIRÃO PRETO (417947)";"Médico Hospitalar";"Médio";"77";"143";"   2,50";"   4,52";"   6,02";"202201";"19/02/2022 09:24:50"
"PARANÁ CLÍNICAS - PLANOS DE SAÚDE S/A (350141)";"Médico Hospitalar";"Grande";"75";"74";"   1,27";"   1,67";"   2,04";"202201";"19/02/2022 09:24:50"
"UNIMED DE SÃO ROQUE - COOPERATIVA DE TRABALHO MÉDICO (318388)";"Médico Hospitalar";"Médio";"206";"212";"0,00";"   0,33";"   0,33";"202201";"19/02/2022 09:24:50"
"UNIMED DE ARACATUBA - COOPERATIVA DE TRABALHO MÉDICO (369411)";"Médico Hospitalar";"Médio";"96";"115";"   1,90";"   1,90";"   1,91";"202201";"19/02/2022 09:24:50"
"UNIMED AMPARO COOPERATIVA DE TRABALHO MÉDICO (345598)";"Médico Hospitalar";"Médio";"164";"170";"   0,68";"   1,16";"   1,16";"202201";"19/02/2022 09:24:50"
"AMHA SAUDE S/A (418587)";"Médico Hospitalar";"Médio";"99";"127";"   1,87";"   2,13";"   1,87";"202201";"19/02/2022 09:24:50"
"UNIMED REGIONAL SUL GOIAS COOP. DE TRABALHO MÉDICO LTDA (305472)";"Médico Hospitalar";"Médio";"169";"194";"   0,62";"   0,62";"   1,23";"202201";"19/02/2022 09:24:50"
"UNIMED DE ARARAQUARA - COOP. DE TRAB. MÉDICO (364312)";"Médico Hospitalar";"Médio";"104";"130";"   1,73";"   1,73";"   1,84";"202201";"19/02/2022 09:24:50"
"PORTO ALEGRE CLÍNICAS LTDA. (346870)";"Médico Hospitalar";"Médio";"152";"170";"   0,85";"   1,26";"   2,57";"202201";"19/02/2022 09:24:50"
"UNIMED DE JABOTICABAL COOP. DE TRABALHO MÉDICO (329886)";"Médico Hospitalar";"Médio";"128";"207";"   1,08";"   1,80";"   1,08";"202201";"19/02/2022 09:24:50"
"ASSOCIAÇAO DOS FUNCIONARIOS PUBLICOS DO ESTADO DO RIO GRANDE DO SUL (417599)";"Médico Hospitalar";"Médio";"206";"221";"0,00";"   0,22";"   0,43";"202201";"19/02/2022 09:24:50"
"SANTA CASA DE MISERICÓRDIA DE JUIZ DE FORA (342807)";"Médico Hospitalar";"Médio";"139";"173";"   0,97";"   1,36";"   1,16";"202201";"19/02/2022 09:24:50"
"COOPERATIVA CENTRAL UNIMED DE COOPERATIVAS DE ASSISTÊNCIA À SAÚDE DO RIO GRANDE DO SUL LTDA. (367087)";"Médico Hospitalar";"Médio";"183";"200";"   0,44";"   0,81";"   0,80";"202201";"19/02/2022 09:24:50"
"HOSPITAL MARECHAL CÂNDIDO RONDON S/A (392391)";"Médico Hospitalar";"Médio";"103";"123";"   1,80";"   2,55";"   1,80";"202201";"19/02/2022 09:24:50"
"UNIMED CHAPECÓ - COOPERATIVA DE TRABALHO MÉDICO DA REGIÃO OESTE CATARINENSE (354295)";"Médico Hospitalar";"Médio";"190";"184";"   0,38";"   0,75";"   0,57";"202201";"19/02/2022 09:24:50"
"IRMANDADE DA SANTA CASA DE MISERICÓRDIA DE RIO CLARO (347655)";"Médico Hospitalar";"Médio";"199";"221";"   0,27";"   0,53";"   0,53";"202201";"19/02/2022 09:24:50"
"E.X.M BRASIL SAÚDE LTDA (416282)";"Médico Hospitalar";"Pequeno";"12";"15";"  42,31";" 126,94";" 221,71";"202201";"19/02/2022 09:24:50"
"ITAUSEG SAÚDE S.A. (000884)";"Médico Hospitalar";"Pequeno";"25";"30";"  17,77";"  22,60";"  17,77";"202201";"19/02/2022 09:24:50"
"AMERON - ASSISTÊNCIA MÉDICA RONDÔNIA S/A. (321338)";"Médico Hospitalar";"Pequeno";"24";"28";"  18,14";"  22,80";"  28,00";"202201";"19/02/2022 09:24:50"
"DONA SAÚDE CLINICAS LTDA (365645)";"Médico Hospitalar";"Pequeno";"11";"12";"  44,55";"  70,63";"  65,02";"202201";"19/02/2022 09:24:50"
"UNIMED DO ESTADO DE SANTA CATARINA FED. EST. DAS COOP. MÉD. (355691)";"Médico Hospitalar";"Grande";"73";"75";"   1,30";"   1,63";"   1,49";"202201";"19/02/2022 09:24:50"
"AMEPLAN ASSISTÊNCIA MÉDICA PLANEJADA LTDA (394734)";"Médico Hospitalar";"Médio";"7";"7";"  18,08";"  21,88";"  23,01";"202201";"19/02/2022 09:24:50"
"SANTA RITA SISTEMA DE SAUDE LTDA (413194)";"Médico Hospitalar";"Médio";"6";"11";"  18,54";"  20,12";"  20,52";"202201";"19/02/2022 09:24:50"
"ALLIANZ SAÚDE S/A (000515)";"Médico Hospitalar";"Médio";"19";"21";"  10,63";"  12,66";"  13,13";"202201";"19/02/2022 09:24:50"
"CLINICA SÃO JOSÉ SAUDE LTDA. (413275)";"Médico Hospitalar";"Médio";"16";"23";"  11,18";"  12,30";"  12,71";"202201";"19/02/2022 09:24:50"
"TERRAMAR ADMINISTRADORA DE PLANO DE SAUDE LTDA (412759)";"Médico Hospitalar";"Médio";"33";"37";"   7,09";"   8,81";"  12,23";"202201";"19/02/2022 09:24:50"
"UNIMED ANÁPOLIS COOPERATIVA DE TRABALHO MÉDICO. (312347)";"Médico Hospitalar";"Médio";"62";"58";"   3,98";"   5,57";"   6,73";"202201";"19/02/2022 09:24:50"
"DENTAL UNI - COOPERATIVA ODONTOLÓGICA (304484)";"Odontológica";"Grande";"4";"3";"   0,43";"   0,66";"   0,71";"202201";"19/02/2022 09:24:50"
"PRODENT - ASSISTÊNCIA ODONTOLÓGICA LTDA. (380041)";"Odontológica";"Grande";"9";"9";"   0,22";"   0,29";"   0,26";"202201";"19/02/2022 09:24:50"
"UNIODONTO DE CAMPINAS COOPERATIVA ODONTOLÓGICA (350494)";"Odontológica";"Grande";"13";"14";"   0,08";"   0,10";"   0,08";"202201";"19/02/2022 09:24:50"
"UNIODONTO DE TRÊS RIOS - COOPERATIVA DE TRABALHO ODONTOLÓGICA (359726)";"Odontológica";"Pequeno";"4";"9";"0,00";"0,00";"0,00";"202201";"19/02/2022 09:24:50"
"COOPERATIVA ODONTOLÓGICA REGIÃO SUL DA BAHIA - UNIODONTO (402010)";"Odontológica";"Pequeno";"4";"9";"0,00";"0,00";"0,00";"202201";"19/02/2022 09:24:50"
"COOPERATIVA ODONTOLÓGICA DE GARANHUNS E AGRESTE MERIDIONAL. (342335)";"Odontológica";"Pequeno";"4";"9";"0,00";"0,00";"0,00";"202201";"19/02/2022 09:24:50"
"ORALE ASSISTÊNCIA ODONTOLÓGICA LTDA (412996)";"Odontológica";"Pequeno";"4";"9";"0,00";"0,00";"0,00";"202201";"19/02/2022 09:24:50"
"UNIMED ITABIRA COOPERATIVA DE TRABALHO MÉDICO (335517)";"Médico Hospitalar";"Médio";"179";"203";"   0,49";"   0,49";"   0,49";"202201";"19/02/2022 09:24:50"
"MH VIDA - OPERADORA DE PLANOS DE SAÚDE LTDA (412015)";"Médico Hospitalar";"Pequeno";"179";"196";"0,00";"   3,37";"   3,37";"202201";"19/02/2022 09:24:50"
"CARING SAÚDE ASSISTÊNCIA MÉDICA LTDA. (422304)";"Médico Hospitalar";"Pequeno";"179";"196";"0,00";"   9,78";"  14,93";"202201";"19/02/2022 09:24:50"
"POLICON ASSISTENCIA MÉDICA LTDA - EPP (412228)";"Médico Hospitalar";"Pequeno";"179";"196";"0,00";"0,00";"0,00";"202201";"19/02/2022 09:24:50"
"SAMOC S.A. - SOCIEDADE ASSISTENCIAL MÉDICA E ODONTO CIRÚRGICA (343676)";"Médico Hospitalar";"Pequeno";"56";"61";"   4,65";"   8,39";"   8,39";"202201";"19/02/2022 09:24:50"
"PORTOMED - PORTO SEGURO SERVIÇOS DE SAUDE LTDA (417491)";"Médico Hospitalar";"Pequeno";"10";"26";"  46,08";"  92,88";"  46,66";"202201";"19/02/2022 09:24:50"
"ASSOCIAÇÃO PLAME DE SAÚDE (419974)";"Médico Hospitalar";"Pequeno";"179";"196";"0,00";"0,00";"   5,81";"202201";"19/02/2022 09:24:50"
"PLANO ASSISTENCIAL SÃO LUCAS LTDA (363391)";"Médico Hospitalar";"Pequeno";"179";"196";"0,00";"0,00";"0,00";"202201";"19/02/2022 09:24:50"
"UNIMED SUDOESTE DE MINAS COOPERATIVA DE TRABALHO MÉDICO (324175)";"Médico Hospitalar";"Pequeno";"141";"103";"   1,22";"   3,66";"   2,44";"202201";"19/02/2022 09:24:50"
"PLANO DE SAUDE ASES LTDA. (411582)";"Médico Hospitalar";"Pequeno";"48";"52";"   6,60";"   7,42";"   9,81";"202201";"19/02/2022 09:24:50"
"ASSOCIACAO DOS PROFESSORES UNIVERSITÁRIOS DA BAHIA (343129)";"Médico Hospitalar";"Pequeno";"62";"186";"   4,39";"   4,39";"   4,39";"202201";"19/02/2022 09:24:50"
"UNIMED SOUSA - COOPERATIVA DE TRABALHO MÉDICO (343153)";"Médico Hospitalar";"Pequeno";"57";"186";"   4,64";"   4,68";"   4,64";"202201";"19/02/2022 09:24:50"
"ASSOCIAÇÃO DOS EMPREGADOS DA COMPANHIA ESTADUAL DE HABITAÇÃO E OBRAS PÚBLICAS - ASSEC (384704)";"Médico Hospitalar";"Pequeno";"50";"90";"   5,60";"  11,20";"  11,20";"202201";"19/02/2022 09:24:50"
"AMAZÔNIA PLANOS DE SAÚDE LTDA (419052)";"Médico Hospitalar";"Pequeno";"64";"100";"   4,27";"   4,27";"   4,27";"202201";"19/02/2022 09:24:50"
"UNIMED DE CORUMBA COOPERATIVA DE TRABALHO MÉDICO (344788)";"Médico Hospitalar";"Pequeno";"179";"196";"0,00";"0,00";"   2,75";"202201";"19/02/2022 09:24:50"
"ASSOCIAÇÃO DOS SERVIDORES FISCAIS DO ESTADO DA BAHIA (335754)";"Médico Hospitalar";"Pequeno";"121";"130";"   1,60";"   1,60";"   1,60";"202201";"19/02/2022 09:24:50"
"ASSOCIAÇÃO PLANO DE SAÚDE SANTA CASA DE VALINHOS (419958)";"Médico Hospitalar";"Pequeno";"140";"152";"   1,22";"   1,23";"   1,24";"202201";"19/02/2022 09:24:50"
"AGROS - INSTITUTO UFV DE SEGURIDADE SOCIAL (368920)";"Médico Hospitalar";"Pequeno";"179";"196";"0,00";"0,00";"   1,32";"202201";"19/02/2022 09:24:50"
"UNIMED DE GUARATINGUETA-COOPERATIVA DE TRABALHO MÉDICO (355577)";"Médico Hospitalar";"Pequeno";"159";"175";"   0,79";"   1,58";"   1,59";"202201";"19/02/2022 09:24:50"
"CETESB - COMPANHIA AMBIENTAL DO ESTADO DE SÃO PAULO (324892)";"Médico Hospitalar";"Pequeno";"179";"196";"0,00";"0,00";"0,00";"202201";"19/02/2022 09:24:50"
"UNIMED VALE DO CARANGOLA COOPERATIVA DE TRABALHO MEDICO LTDA (337561)";"Médico Hospitalar";"Pequeno";"179";"186";"0,00";"   2,45";"0,00";"202201";"19/02/2022 09:24:50"
"FUNDAÇÃO AFFEMG DE ASSISTÊNCIA E SAÚDE - FUNDAFFEMG (315567)";"Médico Hospitalar";"Pequeno";"179";"186";"0,00";"   2,12";"0,00";"202201";"19/02/2022 09:24:50"
"SULMED - ASSISTÊNCIA MÉDICA LTDA (338346)";"Médico Hospitalar";"Pequeno";"155";"173";"   0,87";"   0,91";"   0,92";"202201";"19/02/2022 09:24:50"
"UNIMED NOROESTE DO PARANÁ COOP DE TRABALHO MÉDICO . (365777)";"Médico Hospitalar";"Pequeno";"71";"82";"   3,51";"   4,12";"   4,12";"202201";"19/02/2022 09:24:50"
"UNIMED DE DRACENA - COOPERATIVA DE TRABALHO MÉDICO (314781)";"Médico Hospitalar";"Pequeno";"67";"196";"   3,76";"   3,83";"   5,27";"202201";"19/02/2022 09:24:50"
"UNIMED ARAGUARI COOPERATIVA DE TRABALHO MÉDICO  (354325)";"Médico Hospitalar";"Pequeno";"143";"183";"   1,19";"   1,77";"   1,77";"202201";"19/02/2022 09:24:50"
"PLENODONTO ASSISTÊNCIA ODONTOLÓGICA LTDA. (403458)";"Odontológica";"Pequeno";"4";"9";"0,00";"0,00";"0,00";"202201";"19/02/2022 09:24:50"
"UNIMED-SÃO GONÇALO - NITERÓI - SOC.COOP.SERV.MED E HOSP LTDA (343731)";"Médico Hospitalar";"Grande";"12";"17";"   8,96";"   9,85";"  10,34";"202201";"19/02/2022 09:24:50"
"CENTRAL NACIONAL UNIMED - COOPERATIVA CENTRAL (339679)";"Médico Hospitalar";"Grande";"21";"22";"   7,32";"   8,45";"   9,30";"202201";"19/02/2022 09:24:50"
"SOMPO SAÚDE SEGUROS S.A. (000477)";"Médico Hospitalar";"Grande";"31";"33";"   6,11";"   6,66";"   6,66";"202201";"19/02/2022 09:24:50"
"MEDISERVICE OPERADORA DE PLANOS DE SAÚDE S.A. (333689)";"Médico Hospitalar";"Grande";"48";"50";"   3,54";"   3,98";"   4,05";"202201";"19/02/2022 09:24:50"
"CENTRO CLÍNICO GAÚCHO LTDA (392804)";"Médico Hospitalar";"Grande";"34";"45";"   5,37";"   7,24";"   8,71";"202201";"19/02/2022 09:24:50"
"SUL AMÉRICA SERVIÇOS DE SAÚDE S.A. (416428)";"Médico Hospitalar";"Grande";"43";"42";"   4,24";"   5,50";"   5,41";"202201";"19/02/2022 09:24:50"
"BRADESCO SAÚDE - OPERADORA DE PLANOS  S/A (421715)";"Médico Hospitalar";"Grande";"52";"52";"   3,17";"   3,92";"   3,71";"202201";"19/02/2022 09:24:50"
"UNIMED CUIABA COOPERATIVA DE TRABALHO MÉDICO (342084)";"Médico Hospitalar";"Grande";"53";"55";"   3,15";"   3,92";"   6,04";"202201";"19/02/2022 09:24:50"
"PLANO HOSPITAL SAMARITANO LTDA (411256)";"Médico Hospitalar";"Grande";"56";"57";"   2,44";"   3,38";"   2,81";"202201";"19/02/2022 09:24:50"
"UNIMED RESENDE COOPERATIVA DE TRABALHO MÉDICO (330566)";"Médico Hospitalar";"Pequeno";"109";"121";"   2,05";"   3,58";"   3,58";"202201";"19/02/2022 09:24:50"
"UNIMED PALMEIRA DOS ÍNDIOS COOPERATIVA DE TRABALHO MÉDICO (369233)";"Médico Hospitalar";"Pequeno";"179";"186";"0,00";"   1,83";"0,00";"202201";"19/02/2022 09:24:50"
"ASSOCIAÇÃO SANTA CASA CLÍNICAS DE BIRIGUI (420786)";"Médico Hospitalar";"Pequeno";"179";"196";"0,00";"0,00";"   0,83";"202201";"19/02/2022 09:24:50"
"UNIAO DE CLINICAS RIO GRANDE LTDA (361852)";"Médico Hospitalar";"Pequeno";"179";"196";"0,00";"0,00";"0,00";"202201";"19/02/2022 09:24:50"
"MAPFRE SAÚDE LTDA (418951)";"Médico Hospitalar";"Pequeno";"179";"196";"0,00";"0,00";"0,00";"202201";"19/02/2022 09:24:50"
"UNIMED DE CAÇAPAVA - COOPERATIVA DE TRABALHO MEDICO (334154)";"Médico Hospitalar";"Pequeno";"179";"183";"0,00";"   1,44";"   2,16";"202201";"19/02/2022 09:24:50"
"UNIMED VALE DAS ANTAS, RS - COOPERATIVA DE ASSISTÊNCIA À SAÚDE LTDA. (335541)";"Médico Hospitalar";"Pequeno";"167";"186";"   0,57";"   0,57";"   0,57";"202201";"19/02/2022 09:24:50"
"CONFIANÇA ASSISTÊNCIA MÉDICO HOSPITALAR LTDA (410624)";"Médico Hospitalar";"Pequeno";"179";"196";"0,00";"0,00";"0,00";"202201";"19/02/2022 09:24:50"
"CAIXA DE ASSISTÊNCIA DOS MAGISTRADOS DE PERNAMBUCO (302627)";"Médico Hospitalar";"Pequeno";"179";"196";"0,00";"0,00";"0,00";"202201";"19/02/2022 09:24:50"
"UNIMED SUDOESTE PAULISTA COOPERATIVA DE TRABALHO MÉDICO (327468)";"Médico Hospitalar";"Pequeno";"151";"196";"   0,99";"   0,99";"   0,99";"202201";"19/02/2022 09:24:50"
"BARDELLA S/A INDÚSTRIAS MECÂNICAS (346403)";"Médico Hospitalar";"Pequeno";"179";"196";"0,00";"0,00";"0,00";"202201";"19/02/2022 09:24:50"
"PB ASSISTENCIA MEDICA EU LTDA (422584)";"Médico Hospitalar";"Pequeno";"179";"196";"0,00";"0,00";"0,00";"202201";"19/02/2022 09:24:50"
"CAIXA DE ASSISTÊNCIA AOS MEMBROS DA DEFENSORIA PÚBLICA DO ESTADO DO RIO DE JANEIRO (418820)";"Médico Hospitalar";"Pequeno";"179";"196";"0,00";"   3,90";"   3,90";"202201";"19/02/2022 09:24:50"
"ALICE OPERADORA LTDA. (421928)";"Médico Hospitalar";"Pequeno";"79";"142";"   3,01";"   3,50";"   4,16";"202201";"19/02/2022 09:24:50"
"ASSOCIAÇÃO SAÚDE SÃO JOSÉ (418919)";"Médico Hospitalar";"Pequeno";"103";"136";"   2,20";"   2,93";"   2,93";"202201";"19/02/2022 09:24:50"
"UNIMED SÃO SEBASTIÃO DO PARAÍSO COOPERATIVA DE TRABALHO MÉDICO (327352)";"Médico Hospitalar";"Pequeno";"179";"183";"0,00";"   2,75";"   2,80";"202201";"19/02/2022 09:24:50"
"ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE DE ARAÇATUBA (APAS) (414212)";"Médico Hospitalar";"Pequeno";"93";"102";"   2,53";"   2,53";"   2,53";"202201";"19/02/2022 09:24:50"
"ASTRA S/A INDUSTRIA E COMERCIO (358410)";"Médico Hospitalar";"Pequeno";"179";"196";"0,00";"0,00";"0,00";"202201";"19/02/2022 09:24:50"
"ASSOCIAÇÃO POLICIAL DE ASSISTENCIA À SAUDE DE SAO JOAO DA BOA VISTA (408263)";"Médico Hospitalar";"Pequeno";"53";"186";"   5,57";"   5,61";"   5,57";"202201";"19/02/2022 09:24:50"
"ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA A SAÚDE (409413)";"Médico Hospitalar";"Pequeno";"179";"196";"0,00";"0,00";"0,00";"202201";"19/02/2022 09:24:50"
"UNIMED EXTREMO OESTE CATARINENSE COOPERATIVA DE TRABALHO MÉDICO (340251)";"Médico Hospitalar";"Pequeno";"157";"186";"   0,82";"   0,83";"   0,83";"202201";"19/02/2022 09:24:50"
"UNIMED DE SAO JOSÉ DO RIO PARDO-COOP. DE TRAB. MÉDICO (354619)";"Médico Hospitalar";"Pequeno";"179";"196";"0,00";"0,00";"0,00";"202201";"19/02/2022 09:24:50"
"ASSOCIAÇÃO DE SAÚDE DO VALE (422321)";"Médico Hospitalar";"Pequeno";"179";"196";"0,00";"   1,68";"   2,11";"202201";"19/02/2022 09:24:50"
"ASSOCIAÇÃO SAÚDE RURAL ALEGRETE (418218)";"Médico Hospitalar";"Pequeno";"179";"196";"0,00";"0,00";"0,00";"202201";"19/02/2022 09:24:50"
"ASSOCIAÇÃO DE ASSISTÊNCIA À SAÚDE DA AMAGIS (416690)";"Médico Hospitalar";"Pequeno";"179";"196";"0,00";"0,00";"0,00";"202201";"19/02/2022 09:24:50"
"PLANO DE ASSISTÊNCIA MÉDICA MINEIRA LTDA (382281)";"Médico Hospitalar";"Pequeno";"179";"196";"0,00";"0,00";"0,00";"202201";"19/02/2022 09:24:50"
"ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE - VALE DO RIBEIRA (409405)";"Médico Hospitalar";"Pequeno";"179";"196";"0,00";"0,00";"0,00";"202201";"19/02/2022 09:24:50"
"POLI SAUDE OPERADORA DE PLANO DE SAUDE LTDA (351270)";"Médico Hospitalar";"Pequeno";"179";"183";"0,00";"   1,10";"   1,10";"202201";"19/02/2022 09:24:50"
"UNIODONTO UBERABA - COOPERATIVA DE ASSISTÊNCIA À SAÚDE ODONTOLÓGICA (370568)";"Odontológica";"Médio";"13";"20";"0,00";"0,00";"0,00";"202201";"19/02/2022 09:24:50"
"PLANO ODONTOLÓGICO DENTALVIDAS LTDA. (415936)";"Odontológica";"Médio";"13";"14";"0,00";"   0,19";"   0,19";"202201";"19/02/2022 09:24:50"
"SORRIDEN CONVÊNIOS ODONTOLÓGICOS S.A. (419524)";"Odontológica";"Médio";"13";"18";"0,00";"   0,13";"   0,27";"202201";"19/02/2022 09:24:50"
"UNIODONTO DO BRASIL CENTRAL NACIONAL DAS COOPERATIVAS ODONTÓLOGICAS (314315)";"Odontológica";"Médio";"13";"20";"0,00";"   0,13";"0,00";"202201";"19/02/2022 09:24:50"
"PLANO DE ASSISTÊNCIA ODONTOLÓGICA FAUCHARD LTDA. ME (417106)";"Odontológica";"Médio";"13";"14";"0,00";"   0,37";"   0,38";"202201";"19/02/2022 09:24:50"
"UNIODONTO DE AMERICANA COOPERATIVA ODONTOLÓGICA (347604)";"Odontológica";"Médio";"13";"20";"0,00";"0,00";"0,00";"202201";"19/02/2022 09:24:50"
"UNIODONTO REGIONAL COOPERATIVA ODONTOLOGICA (344451)";"Odontológica";"Grande";"12";"16";"   0,10";"   0,10";"   0,10";"202201";"19/02/2022 09:24:50"
"AESP ODONTO ASSISTÊNCIA ODONTOLÓGICA S/S LTDA EPP (413283)";"Odontológica";"Médio";"11";"16";"   0,14";"   0,14";"   0,14";"202201";"19/02/2022 09:24:50"
"ODONTOPARÁ PLANO DE SAÚDE E CLÍNICA ODONTOLÓGICA LTDA (418714)";"Odontológica";"Pequeno";"4";"9";"0,00";"0,00";"0,00";"202201";"19/02/2022 09:24:50"
"CRZ PLANO ODONTOLÓGICO LTDA (421952)";"Odontológica";"Pequeno";"4";"9";"0,00";"0,00";"0,00";"202201";"19/02/2022 09:24:50"
"COOPERATIVA ODONTOLÓGICA POÇOS DE CALDAS (409791)";"Odontológica";"Médio";"13";"20";"0,00";"0,00";"0,00";"202201";"19/02/2022 09:24:50"
"ODONTO PRIME PLANOS ODONTOLÓGICOS LTDA ME (420212)";"Odontológica";"Pequeno";"4";"9";"0,00";"0,00";"0,00";"202201";"19/02/2022 09:24:50"
"SERVIÇO DE ASSISTÊNCIA ODONTOLÓGICA SOCIAL LTDA. (324710)";"Odontológica";"Pequeno";"4";"9";"0,00";"0,00";"0,00";"202201";"19/02/2022 09:24:50"
"UNIODONTO DE RIO BRANCO ACRE COOPERATIVA ODONTOLÓGICA LTDA. (403997)";"Odontológica";"Pequeno";"4";"9";"0,00";"0,00";"0,00";"202201";"19/02/2022 09:24:50"
"UNIODONTO DE BOTUCATU COOPERATIVA ODONTOLOGICA (347477)";"Odontológica";"Pequeno";"4";"9";"0,00";"0,00";"0,00";"202201";"19/02/2022 09:24:50"
"DENTAL CARE CLINICA ODONTOLOGICA LTDA (386219)";"Odontológica";"Pequeno";"4";"9";"0,00";"0,00";"0,00";"202201";"19/02/2022 09:24:50"
"UNIODONTO DE CAMPOS - COOPERATIVA ODONTOLOGICA (402516)";"Odontológica";"Pequeno";"4";"9";"0,00";"0,00";"0,00";"202201";"19/02/2022 09:24:50"
